english	russian	note
architecture	архитектура	General technical meaning
software architecture	архитектура программного обеспечения	Preferred term
system architecture	архитектура системы	Preferred term
solution architecture	архитектура решения	Preferred term
enterprise architecture	корпоративная архитектура	Preferred term
system design	проектирование систем	Do not reduce to "дизайн"
software engineering	программная инженерия	Preferred term
requirement	требование	Use context for mandatory vs descriptive
constraint	ограничение	Architecture/engineering context
trade-off	компромисс / инженерный выбор	Keep English in parentheses on first ambiguous use
availability	доступность	System property
reliability	надежность	System property
resilience	устойчивость к отказам / способность восстанавливаться	Context-sensitive
fault tolerance	отказоустойчивость	Preferred term
scalability	масштабируемость	Preferred term
maintainability	сопровождаемость	Preferred term
observability	наблюдаемость	SRE meaning
throughput	пропускная способность	Performance context
latency	задержка	Performance context
consistency	согласованность	Distributed systems context
partition tolerance	устойчивость к сетевому разделению	CAP context
coupling	связанность	Software design context
cohesion	связность / функциональная целостность	Context-sensitive
abstraction	абстракция	Preferred term
encapsulation	инкапсуляция	Preferred term
interface	интерфейс	Do not translate API identifiers
implementation	реализация	Preferred term
pattern	паттерн / шаблон	Keep domain consistency inside one book
anti-pattern	антипаттерн	Preferred term
refactoring	рефакторинг	Preferred term
testing	тестирование	Preferred term
unit test	модульный тест	Preferred term
integration test	интеграционный тест	Preferred term
security	безопасность	Context-sensitive
information security	информационная безопасность	Preferred term
cybersecurity	кибербезопасность	Preferred term
threat	угроза	Security context
threat actor	субъект угрозы / нарушитель	Context-sensitive; preserve author terminology
threat modeling	моделирование угроз	Preferred term
attack surface	поверхность атаки	Preferred term
vulnerability	уязвимость	Preferred term
exploit	эксплойт / эксплуатация уязвимости	Noun vs verb context
control	мера контроля / мера защиты	Security and governance context-sensitive
safeguard	защитная мера	Preferred term
risk	риск	Preferred term
mitigation	снижение риска / мера снижения	Context-sensitive
confidentiality	конфиденциальность	CIA triad
integrity	целостность	CIA triad
availability security	доступность	CIA triad context
least privilege	минимальные привилегии	Preferred term
zero trust	нулевое доверие / Zero Trust	Keep English brand/concept when useful
secure by design	безопасность по замыслу / безопасное проектирование	Context-sensitive
privacy	приватность / защита частной жизни	Context-sensitive
authentication	аутентификация	Preferred term
authorization	авторизация / управление доступом	Context-sensitive
identity	идентичность / учетная сущность	IAM context-sensitive
cloud	облако / облачная среда	Context-sensitive
container	контейнер	Preferred term
orchestration	оркестрация	Preferred term
infrastructure as code	инфраструктура как код	IaC
continuous integration	непрерывная интеграция	CI
continuous delivery	непрерывная доставка	CD
continuous deployment	непрерывное развертывание	CD, distinguish from delivery
site reliability engineering	инженерия надежности сайтов / SRE	Keep SRE on first use
distributed system	распределенная система	Preferred term
microservice	микросервис	Preferred term
API	API	Do not translate identifier
framework	фреймворк	Preferred term
library	библиотека	Software context
runtime	среда выполнения	Preferred term
compiler	компилятор	Preferred term
repository	репозиторий	Preferred term
commit	коммит	Git context
branch	ветка	Git context
merge	слияние	Git context
rollback	откат	Preferred term
machine learning	машинное обучение	Preferred term
large language model	большая языковая модель	LLM on first use
retrieval-augmented generation	генерация с дополнением поиском	RAG; keep acronym
embedding	векторное представление / эмбеддинг	Context-sensitive
